artist,album_name,album_uri,track,trackuri,release_date,id,song_uri,track_href,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Yahir Saldivar,SC-9,spotify:album:74LgaGQ9jTfnBlew28NHj2,SC-9,spotify:track:2y3TKxJAaIauybiS3GKHon,2/1/2024,3FqUPvubYeRCMsdJ02QyZR,spotify:track:3FqUPvubYeRCMsdJ02QyZR,https://api.spotify.com/v1/tracks/3FqUPvubYeRCMsdJ02QyZR,https://api.spotify.com/v1/audio-analysis/3FqUPvubYeRCMsdJ02QyZR,0.76,0.747,0,-5.083,0,0.0282,0.0675,2.73e-06,0.309,0.884,128.912,152079,3
Fuerza Regida,Dolido Pero No Arrepentido,spotify:album:5WPTc1Xa8REVDQ5YazhNgv,TÚ NAME,spotify:track:3FqUPvubYeRCMsdJ02QyZR,2/9/2024,4zfQER4owi8q6NL8Gg63Ya,spotify:track:4zfQER4owi8q6NL8Gg63Ya,https://api.spotify.com/v1/tracks/4zfQER4owi8q6NL8Gg63Ya,https://api.spotify.com/v1/audio-analysis/4zfQER4owi8q6NL8Gg63Ya,0.809,0.849,4,-6.769,0,0.0738,0.251,7.36e-05,0.325,0.753,126,204816,3
Fuerza Regida,Pa las Baby's Y Belikeada,spotify:album:3zu0hJJew2qXZNlselIQk8,CRAZYZ,spotify:track:4zfQER4owi8q6NL8Gg63Ya,10/20/2023,6CvTEtGagmzQvkUzzyKR9k,spotify:track:6CvTEtGagmzQvkUzzyKR9k,https://api.spotify.com/v1/tracks/6CvTEtGagmzQvkUzzyKR9k,https://api.spotify.com/v1/audio-analysis/6CvTEtGagmzQvkUzzyKR9k,0.793,0.761,5,-5.482,0,0.11,0.067,0.0045,0.26,0.635,125.045,143327,4
Fuerza Regida,Pa las Baby's Y Belikeada,spotify:album:3zu0hJJew2qXZNlselIQk8,HARLEY QUINN,spotify:track:6CvTEtGagmzQvkUzzyKR9k,10/20/2023,3XfUFGzbr0LmwFVoLXd9cO,spotify:track:3XfUFGzbr0LmwFVoLXd9cO,https://api.spotify.com/v1/tracks/3XfUFGzbr0LmwFVoLXd9cO,https://api.spotify.com/v1/audio-analysis/3XfUFGzbr0LmwFVoLXd9cO,0.751,0.601,5,-5.912,0,0.0828,0.533,0,0.377,0.56,100.994,163940,1
Fuerza Regida,Billete Grande (En Vivo),spotify:album:3qYGLHQB2krhFp27Hm62Ip,Billete Grande (En Vivo),spotify:track:3XfUFGzbr0LmwFVoLXd9cO,8/2/2022,3zFLlF1SvWCt9oZUVPZehW,spotify:track:3zFLlF1SvWCt9oZUVPZehW,https://api.spotify.com/v1/tracks/3zFLlF1SvWCt9oZUVPZehW,https://api.spotify.com/v1/audio-analysis/3zFLlF1SvWCt9oZUVPZehW,0.773,0.836,7,-5.665,0,0.0373,0.213,0.00024,0.105,0.881,145.079,129501,3
Clave Especial,Kalashnikov,spotify:album:1tK3FjbSU0jEurD4lcWLPY,Kalashnikov,spotify:track:3zFLlF1SvWCt9oZUVPZehW,1/18/2024,0lbDzTINTToToBpkrnQT2t,spotify:track:0lbDzTINTToToBpkrnQT2t,https://api.spotify.com/v1/tracks/0lbDzTINTToToBpkrnQT2t,https://api.spotify.com/v1/audio-analysis/0lbDzTINTToToBpkrnQT2t,0.725,0.801,4,-6.544,1,0.0372,0.0333,6.13e-06,0.156,0.642,135.162,279276,3
Fuerza Regida,Pa las Baby's Y Belikeada,spotify:album:3zu0hJJew2qXZNlselIQk8,UNA CERVEZA,spotify:track:0lbDzTINTToToBpkrnQT2t,10/20/2023,6UtWwuheJr5LLDeVypPNx7,spotify:track:6UtWwuheJr5LLDeVypPNx7,https://api.spotify.com/v1/tracks/6UtWwuheJr5LLDeVypPNx7,https://api.spotify.com/v1/audio-analysis/6UtWwuheJr5LLDeVypPNx7,0.742,0.873,0,-5.913,0,0.0519,0.172,0,0.0857,0.796,128.053,187077,3
Fuerza Regida,Pa las Baby's Y Belikeada,spotify:album:3zu0hJJew2qXZNlselIQk8,EXCESOS,spotify:track:6UtWwuheJr5LLDeVypPNx7,10/20/2023,7EWtB4NKYY3NqBl31PVip9,spotify:track:7EWtB4NKYY3NqBl31PVip9,https://api.spotify.com/v1/tracks/7EWtB4NKYY3NqBl31PVip9,https://api.spotify.com/v1/audio-analysis/7EWtB4NKYY3NqBl31PVip9,0.717,0.704,1,-5.04,1,0.0695,0.57,1.12e-06,0.0956,0.717,131.997,141064,3
Peso Pluma,LA PEOPLE II,spotify:album:6oAHTqAdObRQ1BkmIQjX8c,LA PEOPLE II,spotify:track:7EWtB4NKYY3NqBl31PVip9,3/21/2024,5NlAOhfm49dw2rgniuWIrx,spotify:track:5NlAOhfm49dw2rgniuWIrx,https://api.spotify.com/v1/tracks/5NlAOhfm49dw2rgniuWIrx,https://api.spotify.com/v1/audio-analysis/5NlAOhfm49dw2rgniuWIrx,0.832,0.621,0,-8.87,1,0.0608,0.691,0.000162,0.183,0.967,130.005,85545,3
Joel Doble P,La People 2.0,spotify:album:1F9BxIeHkDlb6jELwbz5G3,La People 2.0,spotify:track:5NlAOhfm49dw2rgniuWIrx,2/25/2024,0dEAiKNbHt4mrjjoiL0loc,spotify:track:0dEAiKNbHt4mrjjoiL0loc,https://api.spotify.com/v1/tracks/0dEAiKNbHt4mrjjoiL0loc,https://api.spotify.com/v1/audio-analysis/0dEAiKNbHt4mrjjoiL0loc,0.834,0.763,2,-5.475,1,0.0835,0.0354,2.33e-06,0.273,0.633,134.844,193568,3
Xavi,Corazón de Piedra,spotify:album:34jqKGS3XSMznpvtCwh9so,Corazón de Piedra,spotify:track:0dEAiKNbHt4mrjjoiL0loc,3/21/2024,0R6NfOiLzLj4O5VbYSJAjf,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,0.751,0.819,11,-4.372,0,0.0409,0.255,0,0.236,0.697,131.842,172264,3
Xavi,La Diabla,spotify:album:2IoSjweCu07y9mv5H1Cj3v,La Diabla,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,11/30/2023,3wlIAXSDtlD9iU8ysld06Z,spotify:track:3wlIAXSDtlD9iU8ysld06Z,https://api.spotify.com/v1/tracks/3wlIAXSDtlD9iU8ysld06Z,https://api.spotify.com/v1/audio-analysis/3wlIAXSDtlD9iU8ysld06Z,0.776,0.701,9,-5.223,1,0.0254,0.513,0,0.0902,0.603,112.032,265045,3
Peso Pluma,BIPOLAR,spotify:album:6obRcLVFuI4x6jan7GNkYJ,BIPOLAR,spotify:track:3wlIAXSDtlD9iU8ysld06Z,9/7/2023,4PR0r2us3a64lTew6TVlF2,spotify:track:4PR0r2us3a64lTew6TVlF2,https://api.spotify.com/v1/tracks/4PR0r2us3a64lTew6TVlF2,https://api.spotify.com/v1/audio-analysis/4PR0r2us3a64lTew6TVlF2,0.819,0.48,5,-6.966,1,0.0489,0.685,2.03e-06,0.116,0.759,114.04,200162,3
Fuerza Regida,Jimmy Humilde Presenta Lo Mejor De Las Calles Vol. 4,spotify:album:22P1ttI3jFPolCl6HCfhLX,Sigo Chambeando,spotify:track:4PR0r2us3a64lTew6TVlF2,12/24/2018,5XVdHRf4CAJ2Jm0uMIy5qY,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/tracks/5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/audio-analysis/5XVdHRf4CAJ2Jm0uMIy5qY,0.778,0.835,11,-3.598,0,0.0767,0.152,0,0.109,0.666,140.082,156346,4
Xavi,La Víctima,spotify:album:30KJEN3ICjhYsZ1NgunRCr,La Víctima,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,8/17/2023,6s2YmUFyj2krxfHcXevEH7,spotify:track:6s2YmUFyj2krxfHcXevEH7,https://api.spotify.com/v1/tracks/6s2YmUFyj2krxfHcXevEH7,https://api.spotify.com/v1/audio-analysis/6s2YmUFyj2krxfHcXevEH7,0.542,0.448,0,-7.899,0,0.0396,0.831,3.94e-06,0.104,0.449,123.966,173986,4
juanitoo2x,Año Nuevo,spotify:album:0FAyOaoGk5lvBjzjkE075P,Año Nuevo,spotify:track:6s2YmUFyj2krxfHcXevEH7,2/14/2022,2MeEuwplwbbjZ7hxRI6viw,spotify:track:2MeEuwplwbbjZ7hxRI6viw,https://api.spotify.com/v1/tracks/2MeEuwplwbbjZ7hxRI6viw,https://api.spotify.com/v1/audio-analysis/2MeEuwplwbbjZ7hxRI6viw,0.625,0.554,10,-5.531,1,0.0618,0.417,0,0.305,0.846,111.911,213254,4
Grupo Firme,El Güero (Feat. Marca MP),spotify:album:6JB7kAukHIaovbGdgkvCfI,El Güero (Feat. Marca MP),spotify:track:2MeEuwplwbbjZ7hxRI6viw,11/29/2019,0KSwFEkVh0KCBR0TwqBVen,spotify:track:0KSwFEkVh0KCBR0TwqBVen,https://api.spotify.com/v1/tracks/0KSwFEkVh0KCBR0TwqBVen,https://api.spotify.com/v1/audio-analysis/0KSwFEkVh0KCBR0TwqBVen,0.76,0.635,1,-7.245,1,0.0294,0.651,0.000175,0.0871,0.526,111.992,263811,3
Jasiel Nuñez,Corazón Frío,spotify:album:7aC9iMxYc7mHTN3mJWZFc1,Corazón Frío,spotify:track:0KSwFEkVh0KCBR0TwqBVen,10/12/2023,1TEKUj8c5iyRNUUxo9SdSD,spotify:track:1TEKUj8c5iyRNUUxo9SdSD,https://api.spotify.com/v1/tracks/1TEKUj8c5iyRNUUxo9SdSD,https://api.spotify.com/v1/audio-analysis/1TEKUj8c5iyRNUUxo9SdSD,0.756,0.812,4,-3.483,0,0.0538,0.182,0,0.227,0.571,134.887,220298,3
Xavi,Modo DND,spotify:album:0HkgYr2M6KeK2dWgIJE6AC,Modo DND,spotify:track:1TEKUj8c5iyRNUUxo9SdSD,10/26/2023,54udnumOCHpq4SRpbKleat,spotify:track:54udnumOCHpq4SRpbKleat,https://api.spotify.com/v1/tracks/54udnumOCHpq4SRpbKleat,https://api.spotify.com/v1/audio-analysis/54udnumOCHpq4SRpbKleat,0.381,0.401,6,-14.046,0,0.0306,0.335,0.000335,0.0776,0.399,95.094,282000,3
Junior H,$ad Boyz 4 Life,spotify:album:0X24VcVf6nQJ52c5QmncsO,1004 KM,spotify:track:54udnumOCHpq4SRpbKleat,2/12/2021,2OWv3lRR8PtOVuHWzQNRs2,spotify:track:2OWv3lRR8PtOVuHWzQNRs2,https://api.spotify.com/v1/tracks/2OWv3lRR8PtOVuHWzQNRs2,https://api.spotify.com/v1/audio-analysis/2OWv3lRR8PtOVuHWzQNRs2,0.757,0.642,2,-7.966,0,0.0369,0.607,0.0355,0.169,0.759,130.098,165635,3
Peso Pluma,ROMPE LA DOMPE,spotify:album:3qmauw54W5zniG20b5q4iJ,ROMPE LA DOMPE,spotify:track:2OWv3lRR8PtOVuHWzQNRs2,12/28/2023,4loIMejzvt11s97SGVEat8,spotify:track:4loIMejzvt11s97SGVEat8,https://api.spotify.com/v1/tracks/4loIMejzvt11s97SGVEat8,https://api.spotify.com/v1/audio-analysis/4loIMejzvt11s97SGVEat8,0.779,0.88,4,-2.212,0,0.065,0.426,0,0.0691,0.732,140.282,156040,3
Xavi,Poco A Poco,spotify:album:0Xc7skil4XnM9I2bzAtqgl,Poco A Poco,spotify:track:4loIMejzvt11s97SGVEat8,9/21/2023,6X5WZbJzXtk6aO03HlxuZ9,spotify:track:6X5WZbJzXtk6aO03HlxuZ9,https://api.spotify.com/v1/tracks/6X5WZbJzXtk6aO03HlxuZ9,https://api.spotify.com/v1/audio-analysis/6X5WZbJzXtk6aO03HlxuZ9,0.698,0.664,8,-4.027,0,0.0406,0.302,0,0.268,0.747,144.981,205300,3
Eslabon Armado,DESVELADO,spotify:album:5aDEezKnOqyQo0qvTFhpkM,Así Lo Quiso Dios,spotify:track:6X5WZbJzXtk6aO03HlxuZ9,4/28/2023,1Fuc3pBiPFxAeSJoO8tDh5,spotify:track:1Fuc3pBiPFxAeSJoO8tDh5,https://api.spotify.com/v1/tracks/1Fuc3pBiPFxAeSJoO8tDh5,https://api.spotify.com/v1/audio-analysis/1Fuc3pBiPFxAeSJoO8tDh5,0.702,0.483,3,-7.99,0,0.0524,0.366,0.000131,0.124,0.769,138.842,162795,3
El Chachito,En Paris,spotify:album:02t065wNWRCc7Yz9jG0ahR,En Paris,spotify:track:1Fuc3pBiPFxAeSJoO8tDh5,12/24/2022,1piak4R3yW4otWWyaSqyCH,spotify:track:1piak4R3yW4otWWyaSqyCH,https://api.spotify.com/v1/tracks/1piak4R3yW4otWWyaSqyCH,https://api.spotify.com/v1/audio-analysis/1piak4R3yW4otWWyaSqyCH,0.662,0.801,8,-6.397,0,0.0859,0.256,0,0.126,0.827,114.922,194519,3
Junior H,El Tsurito,spotify:album:2Vsd77mgdyNDlYG1XYmBuA,El Tsurito,spotify:track:1piak4R3yW4otWWyaSqyCH,4/7/2023,0MHFbqdlWzAkgO8p7pkfMb,spotify:track:0MHFbqdlWzAkgO8p7pkfMb,https://api.spotify.com/v1/tracks/0MHFbqdlWzAkgO8p7pkfMb,https://api.spotify.com/v1/audio-analysis/0MHFbqdlWzAkgO8p7pkfMb,0.723,0.697,7,-3.643,1,0.215,0.161,0,0.0814,0.858,159.01,172056,3
Fuerza Regida,Pa Que Hablen,spotify:album:7idxAlo8GuUKWV7RhOlptp,Mi Terre CLN,spotify:track:0MHFbqdlWzAkgO8p7pkfMb,12/30/2022,0tKl8ZVM6xJkhznvJAS3Nq,spotify:track:0tKl8ZVM6xJkhznvJAS3Nq,https://api.spotify.com/v1/tracks/0tKl8ZVM6xJkhznvJAS3Nq,https://api.spotify.com/v1/audio-analysis/0tKl8ZVM6xJkhznvJAS3Nq,0.478,0.732,4,-4.342,0,0.0779,0.363,3.34e-06,0.0768,0.664,184.819,259403,3
Junior H,Corridos Tumbados,spotify:album:0Pr7tJefVMQCh8hy1n8OLr,Ella,spotify:track:0tKl8ZVM6xJkhznvJAS3Nq,10/31/2019,1RzjXhgnzqb3dMa5852itx,spotify:track:1RzjXhgnzqb3dMa5852itx,https://api.spotify.com/v1/tracks/1RzjXhgnzqb3dMa5852itx,https://api.spotify.com/v1/audio-analysis/1RzjXhgnzqb3dMa5852itx,0.736,0.862,7,-4.136,0,0.0333,0.464,0,0.0904,0.799,145.001,153032,3
